KaryawanID,NIK,NamaKaryawan,JenisKelamin,Jabatan,Departemen,ApotekID,StatusKepegawaian
KRY059,KF202600059,Elsa Pangestu,P,Kasir,Operasional Apotek,APT014,Tetap
KRY060,KF202600060,Nabila Pangestu,P,Kasir,Operasional Apotek,APT073,Magang
KRY061,KF202600061,Vina Lestari,P,Kasir,Operasional Apotek,APT013,Kontrak
KRY062,KF202600062,Kevin Oktavia,L,,Administrasi,APT075,Tetap
KRY063,KF202600063,Salsa Fauzi,P,Supervisor Cabang,Operasional Apotek,APT099,Tetap
KRY064,KF202600064,Sinta Sari,P,Kasir,Operasional Apotek,APT038,Magang
KRY065,KF202600065,Rafi Permata,L,Asisten Apoteker,Farmasi,APT040,Kontrak
KRY066,KF202600066,Putri Oktavia,P,Supervisor Cabang,Operasional Apotek,APT045,Magang
KRY067,KF202600067,Ilham Nugraha,L,Asisten Apoteker,Farmasi,apt009,Kontrak
kry068,KF202600068,Rafi Pratama,L,,Farmasi,APT083,Tetap
KRY069,KF202600069,Rangga Oktavia,L,Apoteker,Farmasi,APT071,Tetap
KRY070,KF202600070,Elsa Amelia,P,Supervisor Cabang,Operasional Apotek,APT030,Magang
kry071,KF202600071,Fajar Amelia,L,Supervisor Cabang,Operasional Apotek,APT004,Tetap
kry072,KF202600072,Farah Amelia,P,Supervisor Cabang,Operasional Apotek,APT001,Tetap
KRY073,KF202600073,Hendra Wijaya,L,Admin Cabang,Administrasi,APT014,Tetap
KRY074,KF202600074,Nadia Santoso,P,Supervisor Cabang,Operasional Apotek,apt015,Kontrak
KRY075,KF202600075,Dina Ananda,P,Admin Cabang,Administrasi,APT050,Magang
kry076,KF202600076,Eko Hidayat,L,Supervisor Cabang,Operasional Apotek,APT080,Tetap
KRY077,KF202600077,Gita Azzahra,P,Kasir,Operasional Apotek,APT087,Tetap
kry078,KF202600078,Dewi Utami,P,Asisten Apoteker,Farmasi,APT015,Tetap
KRY079,KF202600079,Maya Oktavia,P,Supervisor Cabang,Operasional Apotek,APT054,Tetap
KRY080,KF202600080,Vina Ramadhan,P,Supervisor Cabang,Operasional Apotek,APT082,Tetap
KRY081,KF202600081,Joko Kusuma,L,Apoteker,Farmasi,APT024,Kontrak
KRY082,KF202600082,Gita Saputra,P,Asisten Apoteker,Farmasi,APT002,Magang
kry083,KF202600083,Bayu Fauzi,L,Admin Cabang,Administrasi,apt065,Magang
KRY084,KF202600084,Citra Amelia,P,Supervisor Cabang,Operasional Apotek,APT063,Tetap
KRY085,KF202600085,Miko Pratama,L,Apoteker,Farmasi,apt038,Tetap
KRY086,KF202600086,Fitri Mahendra,P,,Farmasi,APT022,Magang
KRY087,KF202600087,Elsa Oktavia,P,Kasir,Operasional Apotek,APT074,Tetap
KRY088,KF202600088,Elsa Hidayat,P,Admin Cabang,Administrasi,APT097,Tetap
kry089,KF202600089,Elsa Santoso,P,Supervisor Cabang,Operasional Apotek,APT014,Tetap
KRY090,KF202600090,Rani Nugraha,P,Asisten Apoteker,Farmasi,APT045,Tetap
kry091,KF202600091,Dewi Utami,P,Apoteker,Farmasi,apt095,Kontrak
KRY092,KF202600092,Nabila Pangestu,P,Apoteker,Farmasi,APT027,Tetap
kry093,KF202600093,Miko Hidayat,L,Admin Cabang,Administrasi,APT036,Tetap
KRY094,KF202600094,Intan Kusuma,P,,Administrasi,apt035,Tetap
KRY095,KF202600095,Gilang Saputra,L,Asisten Apoteker,Farmasi,APT084,Tetap
KRY096,KF202600096,Rangga Permata,L,Asisten Apoteker,Farmasi,APT032,Magang
kry097,KF202600097,Maya Azzahra,P,Asisten Apoteker,Farmasi,APT081,Magang
KRY098,KF202600098,Wulan Wijaya,P,Kasir,Operasional Apotek,APT052,Kontrak
kry099,KF202600099,Wulan Sari,P,Asisten Apoteker,Farmasi,apt075,Tetap
KRY100,KF202600100,Ilham Hidayat,L,Kasir,Operasional Apotek,APT069,Magang
KRY101,KF202600101,Gilang Santoso,L,Supervisor Cabang,Operasional Apotek,APT035,Kontrak
kry102,KF202600102,Nadia Mahendra,P,Admin Cabang,Administrasi,APT017,Magang
KRY103,KF202600103,Rani Saputra,P,,Operasional Apotek,APT081,Magang
KRY104,KF202600104,Rafi Ramadhan,L,Supervisor Cabang,Operasional Apotek,APT059,Tetap
KRY105,KF202600105,Putri Permata,P,Asisten Apoteker,Farmasi,apt021,Kontrak
KRY106,KF202600106,Eko Maulana,L,Kasir,Operasional Apotek,apt048,Tetap
kry107,KF202600107,Fikri Kusuma,L,Apoteker,Farmasi,apt055,Tetap
KRY108,KF202600108,Andi Santoso,L,,Operasional Apotek,apt010,Tetap
KRY109,KF202600109,Kevin Nugraha,L,Kasir,Operasional Apotek,APT002,Kontrak
KRY110,KF202600110,Gilang Permata,L,Supervisor Cabang,Operasional Apotek,APT010,Tetap
KRY111,KF202600111,Ayu Lestari,P,,Operasional Apotek,APT041,Kontrak
KRY112,KF202600112,Maya Fauzi,P,Apoteker,Farmasi,APT083,Tetap
KRY113,KF202600113,Kevin Azzahra,L,Kasir,Operasional Apotek,APT079,Tetap
KRY114,KF202600114,Salsa Santoso,P,Apoteker,Farmasi,APT053,Magang
kry115,KF202600115,Dimas Lestari,L,Apoteker,Farmasi,APT097,Tetap
kry116,KF202600116,Salsa Amelia,P,Asisten Apoteker,Farmasi,APT018,Tetap
KRY117,KF202600117,Ayu Utami,P,Admin Cabang,Administrasi,APT077,Kontrak
kry118,KF202600118,Arif Santoso,L,Admin Cabang,Administrasi,APT078,Tetap
KRY119,KF202600119,Intan Saputra,P,Apoteker,Farmasi,apt064,Magang
KRY120,KF202600120,Rangga Sari,L,Admin Cabang,Administrasi,apt010,Tetap
KRY008,KF202600008,Fitri Mahendra,P,Asisten Apoteker,Farmasi,APT100,Kontrak
KRY027,KF202600027,Andi Ramadhan,L,Kasir,Operasional Apotek,APT064,Magang
